,Architecture,n_h_l,n_n,Run,Status,K,K1,K2,K3,K4,K5,K6,K7,K8
8,DLGN,1,64,mean,UnLearned,87.01,,,,,,,,
9,DLGN,1,64,mean,Learned,85.36,,,,,,,,
10,DLGN,1,128,mean,UnLearned,82.34,,,,,,,,
11,DLGN,1,128,mean,Learned,55.59,,,,,,,,
12,DLGN-SF,1,32,mean,UnLearned,84.33,,,,,,,,
13,DLGN-SF,1,32,mean,Learned,115.09,,,,,,,,
14,DLGN-SF,1,64,mean,UnLearned,72.38,,,,,,,,
15,DLGN-SF,1,64,mean,Learned,66.5,,,,,,,,
16,DLGN-SF,1,128,mean,UnLearned,75.8,,,,,,,,
17,DLGN-SF,1,128,mean,Learned,59.99,,,,,,,,
